Theorem Id,Domain,LoC,#Definitions,#Inlined (#Basic),#Generated,#Retrieved (Ranks),#Annotations,Description
plus_n_O,Arithmetic,22,4,0 (0),3,N/A,2,"Annotations: eq.* nat.* Statement: forall n : nat, n = plus n O."
plus_n_Sm,Arithmetic,30,4,0 (0),3,N/A,3,"Annotations: eq.* eq_ind_r nat.* Statement: forall n m : nat, (S (plus n m)) = (plus n (S m))."
mult_n_O,Arithmetic,28,5,0 (0),3,N/A,3,"Annotations: eq.* nat.* plus Statement: forall n : nat, O = mult n O."
plus_assoc,Arithmetic,30,5,0 (0),3,N/A,3,"Annotations: eq.* eq_ind_r nat.* Statement: forall a b c : nat, plus a (plus b c) = plus (plus a b) c"
plus_comm,Arithmetic,58,7,2 (0),4,N/A,3,"Annotations: eq.* eq_ind_r nat.* Statement: forall n m : nat, plus n m = plus m n."
plus_mult_n_plus_m,Arithmetic,90,10,4 (4),10,"4 (4, 6, 7, 10)",4,"Annotations: eq.* eq_ind_r nat.* plus Statement: forall n m : nat, plus m (mult m n) = mult m (S n)."
mult_comm,Arithmetic,112,12,6 (4),10,"4 (4, 6, 7, 10)",4,"Annotations: eq.* eq_ind_r nat.* plus Statement: forall a b : nat, mult a b = mult b a."
mult_distributive_l,Arithmetic,130,13,7 (4),11,"4 (4, 5, 9, 10)",4,"Annotations: eq.* eq_ind_r nat.* plus Statement: forall m n p : nat, mult n (plus m p) = plus (mult n m) (mult n p)."
mult_distributive_r,Arithmetic,140,14,8 (4),11,"4 (4, 5, 9, 10)",4,"Annotations: eq.* eq_ind_r nat.* plus Statement: forall m n p : nat, mult (plus n m) p = plus (mult n p) (mult m p)."
mult_assoc,Arithmetic,152,15,9 (4),11,"4 (4, 5, 9, 10)",4,"Annotations: eq.* eq_ind_r nat.* plus Statement: forall a b c : nat, mult (mult a b) c = mult a (mult b c)."
